id,RA,Dec,Target,Qual,z,z_err,N_lines,features,flag
V03Q3_4,10.6778,-9.2666,T,2,0.5147,0,10,e7a3,0
V03Q3_20,10.6753,-9.2941,T,2,0.0489,0,9,e9a0,0
V03Q3_21,10.6692,-9.3195,T,2,0.0775,0,8,e8a0,0
V03Q3_6,10.6648,-9.2645,T,2,0.3148,0,11,e8a3,0
V03Q4_12,10.9223,-9.3036,A,2,0.4613,0,9,e5a4,0
V03Q4_12,10.9242,-9.3036,T,0,0,0,0,e0a0,0
V03Q4_24,10.9156,-9.3231,T,2,0.5359,0,6,e1a5,0
V03Q4_9,10.9067,-9.3432,A,2,0.4881,0,6,e2a4,0
V03Q4_9,10.9114,-9.3432,T,3,0.48,0,0,e0a0,0
V03Q4_11,10.9056,-9.2584,T,2,0.5114,0,12,e12a0,0
V03Q4_8,10.8997,-9.2852,T,2,0.2084,0,10,e9a1,0
V03Q4_21,10.7951,-9.7141,T,3,0.0988,0,6,e4a2,0
V03Q4_14,10.8837,-9.2804,T,2,0.0555,0,2,e0a2,0
V03Q4_15,10.8804,-9.3363,T,2,0.3859,0,8,e5a3,0
V03Q4_13,10.8707,-9.3041,T,2,0.2995,0,7,e2a5,0
V03Q4_6,10.8668,-9.29,T,2,0.1851,0,9,e8a1,0
V03Q4_22,10.8628,-9.3352,T,2,0.4809,0,8,e6a2,0
V03Q4_4,10.8561,-9.2847,T,2,0.1886,0,10,e9a1,0
V03Q4_2,10.8495,-9.2596,A,3,0.0199,0,4,e3a1,0
V03Q4_2,10.8519,-9.2596,T,0,0,0,0,e0a0,0
V03Q4_3,10.8449,-9.2797,T,2,0.5685,0,4,e2a2,0
V03Q4_1,10.842,-9.2656,T,2,0.3857,0,16,e16a0,0
V03Q4_18,10.8384,-9.284,T,2,0.4477,0,10,e8a2,0
V03Q4_19,10.8339,-9.2758,T,2,0.5374,0,5,e3a2,0
V03Q4_19,10.8362,-9.2758,A,0,0,0,0,e0a0,0
V03Q4_16,10.8269,-9.272,A,2,0.0785,0,4,e1a3,a
V03Q4_16,10.8286,-9.272,T,0,0,0,0,e0a0,0
V03Q4_23,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V03Q4_23,10.8169,-9.2781,T,2,0.3394,0,8,e3a5,0
V03Q4_17,10.8135,-9.3587,T,2,0.4477,0,5,e5a0,0
V04Q1_5,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V04Q1_5,10.3798,-9.4703,A,2,0.2959,0,14,e10a4,0
V04Q1_5,10.3834,-9.4703,T,3,0.4936,0,4,e4a0,0
V04Q1_19,10.3716,-9.4049,T,2,0.3029,0,12,e10a2,0
V04Q1_17,10.3694,-9.4236,T,2,0.304,0.0001,7,e1a6,0
V04Q1_4,10.3665,-9.4745,T,3,0.5664,0,5,e3a2,a
V04Q1_4,10.3668,-9.4745,A,2,0.5658,0,5,e3a2,0
V04Q1_20,10.3622,-9.3991,T,1,0,0,0,e0a0,0
V04Q1_12,10.3593,-9.4649,T,2,0.2036,0,9,e9a0,0
V04Q1_21,10.354,-9.4579,T,2,0.0958,0,9,e8a1,0
V04Q1_11,10.3484,-9.4719,T,2,0.0956,0,10,e10a0,0
V04Q1_10,10.342,-9.4376,T,2,0.3041,0,11,e7a4,0
V04Q1_3,10.336,-9.5019,T,2,0.3942,0,13,e8a5,0
V04Q1_9,10.3245,-9.4401,T,2,0.4754,0,8,e3a5,0
V04Q1_1,10.3116,-9.3977,A,2,0.5917,0,6,e2a4,a
V04Q1_1,10.3147,-9.3977,T,3,0.3924,0,4,e4a0,0
V04Q1_22,10.3078,-9.4263,T,2,0.5196,0,6,e3a3,0
V04Q1_2,10.3036,-9.4291,T,2,0.1777,0,8,e7a1,0
V04Q1_26,10.2993,-9.4034,T,1,0,0,0,e0a0,0
V04Q1_26,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V04Q1_23,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V04Q1_23,10.2901,-9.4295,T,2,0.398,0.0002,13,e9a4,0
V04Q1_25,10.2844,-9.4882,T,3,0.6526,0,2,e1a1,0
V04Q1_13,10.3205,-9.4011,T,2,0.6567,0,9,e9a0,0
V04Q1_6,10.2762,-9.4117,T,2,0.3924,0,17,e15a2,0
V04Q1_24,10.2737,-9.4081,T,2,0.3971,0,5,e0a5,0
V04Q1_16,10.27,-9.391,T,2,0.4046,0,7,e3a4,0
V04Q2_15,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V04Q2_15,10.2308,-9.3929,T,0,0,0,0,e0a0,0
V04Q2_15,10.2324,-9.3929,A,2,0.5149,0,8,e4a4,a
V04Q2_22,10.2278,-9.415,T,2,0.1602,0,3,e3a0,0
V04Q2_21,10.2233,-9.4182,T,2,0.0481,0,6,e5a1,0
V04Q2_3,10.2185,-9.4779,T,2,0.3647,0,17,e12a5,0
V04Q2_17,10.2134,-9.4931,T,2,1.121,0.0007,4,e2a2,0
V04Q2_20,10.201,-9.4145,T,2,0.6266,0,4,e0a4,0
V04Q2_20,-999.9,-999.9,A,-9,0.434,0.0002,5,e5a0,b
V04Q2_20,10.2039,-9.4145,A,2,0.4591,0,16,e12a4,0
V04Q2_23,10.1915,-9.4574,T,2,0.3843,0,12,e9a3,0
V04Q2_24,10.1889,-9.4074,T,2,0.512,0.0003,7,e4a3,0
